keyword,destination_url
design-system,https://design.alpha.canada.ca/en/
notes,https://docs.google.com/document/d/1qopuev62GZ-X5PxLghG1-Yr_Qd5-owf9NfE5W4I56EI/edit#
roadmap,https://www.figma.com/file/LSh2VrbUh6vn8pIIy7SCVD/Digital-Talent-and-Indigenous-Apprenticeship-Program---Product-roadmap?node-id=0%3A1
team-readmes,https://docs.google.com/document/d/1btx6U6kaVN-9RYR0ie0aWWZQU9sOjIR5rDO-6xHmDW8/edit#
readme-peter,https://drive.google.com/file/d/1veslJQwbcVhMV6pLTxaiRxth73UFziZ1/view?usp=sharing
readme-josh,https://workflowy.com/s/joshs-readme/WsXzbLFAqwHQOMS5
travel,https://docs.google.com/document/d/1KyOba8l4MccAYtHrQL_k0WfyZhvRVIDMgSADnKnCoX0/edit#
outreach-notes,https://docs.google.com/document/d/1FEOyebAZR3L9BOzyRjbBfjqEzVXJCw9ttrSBqw6UdSw/edit
recruitment-notes,http://go.talent.c4nada.ca/outreach-notes
hiring-notes,http://go.talent.c4nada.ca/outreach-notes
dcmo-calls,https://bit.ly/3LYw3M7
inventory,https://docs.google.com/document/d/1z3VgzvoaRwXQ2w3Scbt2_8suaXSUPtAOULkSubOrJzo/edit
guides,https://docs.google.com/document/d/1Vt_fPhcZMaJMU7S0p4LAG3-z5UubkM3NrOr6pmmLRmQ/edit#
new-ticket,https://github.com/GCTC-NTGC/gc-digital-talent/issues/new
new-issue,https://github.com/GCTC-NTGC/gc-digital-talent/issues/new
dev-backlog,https://github.com/GCTC-NTGC/gc-digital-talent/issues
des-backlog,https://github.com/orgs/GCTC-NTGC/projects/7/views/1
backlog,http://go.talent.c4nada.ca/dev-backlog
groups,https://app.slack.com/client/T5ZFRSQ3V/browse-user-groups
repo-priv,https://github.com/GCTC-NTGC/meta-private
people,https://docs.google.com/spreadsheets/d/1pf6flglfLDwx3KxuUBeBb-MwT61XZdtZkvrP_4m5wC0/edit#gid=0
shortlinks-about,https://hackmd.io/@patcon/shortlinks-about
shortlinks-gh,https://github.com/patcon/go.talent.c4nada.ca/blob/main/shortlinks.csv
shortlinks-prose,https://prose.io/#patcon/go.talent.c4nada.ca/edit/main/shortlinks.csv
shortlinks,http://go.talent.c4nada.ca/shortlinks-gh
shortlinks-changelog,https://github.com/patcon/go.talent.c4nada.ca/commits/main/shortlinks.csv
shortlinks-status,https://github.com/patcon/go.talent.c4nada.ca/actions/workflows/update-shortlinks.yml
chat,https://talent-cloud.slack.com/
slack,http://go.talent.c4nada.ca/chat
slactions,https://hackmd.io/@patcon/slactions
figma,https://www.figma.com/files/team/968615166805902879/GC-Digital-Talent
office,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=bzUFLllY3eWLBJnD
office-tea,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=8jNU7YURRwczS24Y
office-lab,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=-LcOIhiv1xop0nwt
office-tristan,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=5EJJ0n7JHwlNuS45
office-rooftop,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=W0MnpZEqGM2M_LL5
office-cowork,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=tsoKHbWm9wGoAwqo
office-pomodoros,http://go.talent.c4nada.ca/office-cowork
office-return,https://app.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice
office-edit,https://app.gather.town/mapmaker/nWrXrRG1riSo7SLw/TalentCloudForestOffice
office-beta,https://app.staging.gather.town/app/nWrXrRG1riSo7SLw/TalentCloudForestOffice?spawnToken=bzUFLllY3eWLBJnD
onboarding,https://trello.com/b/PMhTjbcA/gc-digital-talent-tech-onboarding-template
